Unnamed: 0,Focal Plane Image,Time Stream Image,Number of Detectors,Y and X Extent Ratio,Mean abs(Correlation),Mean abs(Time Lag),Y Hist Max and Adjacent/Number of Detectors,Within 0.1 of Y Hist Max/Number of Detectors,TOD,Start Index,Stop Index,Start Ctime,Stop Ctime,Median Ctime,ra,dec,ra with TOD Offsets,dec with TOD Offsets,Type,Glitch
8,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_63097-63535.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_63097-63535.png,49.0,0.6924416747617053,0.5246319401807744,0.0348639455782312,0.3877551020408163,0.8163265306122449,1559981711.1559990795.ar5:f090,63097.0,63535.0,1559981869.243231,1559981870.348853,1559981869.796042,-8.710969310902188,2.026938482914147,-0.155556355422146,0.0269712927449399,Original,Unlabeled
9,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_65478-65886.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_65478-65886.png,54.0,0.6217582549560181,0.2599029596274128,1.313067784765898,0.4259259259259259,0.5,1559981711.1559990795.ar5:f090,65478.0,65886.0,1559981875.267228,1559981876.296949,1559981875.782089,-5.098990698867011,-3.474887062194948,-0.0934100667727591,-0.0683332643433198,Original,Unlabeled
10,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_79721-80126.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_79721-80126.png,28.0,0.8100045317637715,0.2060443840677816,33.72222222222222,0.3214285714285714,0.4642857142857143,1559981711.1559990795.ar5:f090,79721.0,80126.0,1559981911.30242,1559981912.324551,1559981911.813486,-5.017424347733932,-3.293033637553933,-0.0909085993220017,-0.0676231229484096,Original,Unlabeled
11,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_93432-93833.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_93432-93833.png,4.0,1.2825031556926132,0.5748783862777392,0.0,0.25,1.0,1559981711.1559990795.ar5:f090,93432.0,93833.0,1559981945.991634,1559981947.003645,1559981946.497639,-5.227674860870669,-2.208842991952922,-0.095624003758991,-0.0464067080910939,Original,Unlabeled
12,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_94924-95329.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_94924-95329.png,15.0,0.5305953872121215,0.3738311194656826,6.019047619047619,0.5333333333333333,0.9333333333333332,1559981711.1559990795.ar5:f090,94924.0,95329.0,1559981949.766436,1559981950.788567,1559981950.277501,-4.896718765383424,-3.4135656359440323,-0.0903306051832842,-0.0672852200355295,Original,Unlabeled
13,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_103446-103853.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_103446-103853.png,14.0,1.6963812548827366,0.4961351286266571,0.0,0.2142857142857142,0.5714285714285714,1559981711.1559990795.ar5:f090,103446.0,103853.0,1559981971.327335,1559981972.354526,1559981971.840931,-6.709136152628802,0.0530203397062483,-0.121055952498763,-0.0070816304313445,Original,Unlabeled
14,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_120700-121102.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_120700-121102.png,7.0,0.5181583324482163,0.3718989336530137,24.714285714285715,0.4285714285714285,0.5714285714285714,1559981711.1559990795.ar5:f090,120700.0,121102.0,1559982014.98044,1559982015.994981,1559982015.487711,-7.204621624769849,0.6844038186964934,-0.1295629333028567,0.0040112763993523,Original,Unlabeled
15,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_124360-124764.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_124360-124764.png,31.0,0.6571646029576996,0.2262176296699708,17.141935483870967,0.3225806451612903,0.3870967741935484,1559981711.1559990795.ar5:f090,124360.0,124764.0,1559982024.24034,1559982025.259942,1559982024.7501411,-5.672599232899723,-1.446533960834909,-0.1031490619282968,-0.0330856674532018,Original,Unlabeled
16,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_125166-125571.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_125166-125571.png,35.0,0.6572063661198037,0.2277808796665822,8.344537815126051,0.4571428571428571,0.5428571428571428,1559981711.1559990795.ar5:f090,125166.0,125571.0,1559982026.279543,1559982027.301674,1559982026.790609,-6.862751353238858,0.4182107555864859,-0.1236290063087018,-0.0006567340596627,Original,Unlabeled
17,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_129362-130024.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_129362-130024.png,61.0,1.2566736498218611,0.7753025364174657,0.0010928961748633,0.4426229508196721,0.5245901639344263,1559981711.1559990795.ar5:f090,129362.0,130024.0,1559982036.895543,1559982038.567892,1559982037.731718,-4.380747913308988,-2.5989670541569043,-0.0773146844820936,-0.0594410924428314,Original,Unlabeled
